DAE,DOY,Water Use (in),Rain and Irrig (in),Irrig (in),PAW Depletion (0-1),Irrigation_Recommendation (in),Water_Stress_Index (0-1),N Uptake Rate (kg/ha/day),N Fertilization (kg/ha),N Available (kg/ha),Nitrogen_Stress_Index (0-1),N Fertilization Recommendation (kg/ha),Days Since Last Irrigation
0,121,0.0935433070866142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.340107265447823,0,0.0,-15
0,121,0.0935433070866142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.340107265447823,0,0.0,-15
0,122,0.18015748031496065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.49907778438041,0,0.0,-14
0,122,0.18015748031496065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.49907778438041,0,0.0,-14
0,123,0.13381889763779528,0.05,0.0,0.0,0.0,0.0,0.0,0.0,20.625961844057695,0,0.0,-13
0,123,0.13381889763779528,0.05,0.0,0.0,0.0,0.0,0.0,0.0,20.625961844057695,0,0.0,-13
0,124,0.15200787401574806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.714458934192425,0,0.0,-12
0,124,0.15200787401574806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.714458934192425,0,0.0,-12
0,125,0.11745511811035234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8205095645647,0,0.0,-11
0,125,0.11745511811035234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8205095645647,0,0.0,-11
0,126,0.008667365127865255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.954710302081985,0,0.0,-10
0,126,0.008667365127865255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.954710302081985,0,0.0,-10
0,127,0.011371667722416903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.105224174059753,0,0.0,-9
0,127,0.011371667722416903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.105224174059753,0,0.0,-9
0,128,0.003912728971670096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.241643415968035,0,0.0,-8
0,128,0.003912728971670096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.241643415968035,0,0.0,-8
0,129,0.0024072253318790145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.382293271795206,0,0.0,-7
0,129,0.0024072253318790145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.382293271795206,0,0.0,-7
0,130,0.0030079245574832865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.544437954053535,0,0.0,-6
0,130,0.0030079245574832865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.544437954053535,0,0.0,-6
0,131,0.0009856644912744172,0.00984251968503937,0.0,0.0,0.0,0.0,0.0,0.0,21.676877488314073,0,0.0,-5
0,131,0.0009856644912744172,0.00984251968503937,0.0,0.0,0.0,0.0,0.0,0.0,21.676877488314073,0,0.0,-5
0,132,0.002465165973272037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.786318177920425,0,0.0,-4
0,132,0.002465165973272037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.786318177920425,0,0.0,-4
0,133,0.002336308412853477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.90786265520584,0,0.0,-3
0,133,0.002336308412853477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.90786265520584,0,0.0,-3
0,134,0.0033582283771015882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.04845909905266,0,0.0,-2
0,134,0.0033582283771015882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.04845909905266,0,0.0,-2
0,135,0.0020477288973658045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.175552773121154,0,0.0,-1
0,135,0.0020477288973658045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.175552773121154,0,0.0,-1
0,136,0.0011446799704724466,0.984251968503937,0.984251968503937,0.0,0.0,0.0,0.0,0.0,25.698895844313203,0,0.0,0
0,136,0.0011446799704724466,0.984251968503937,0.984251968503937,0.0,0.0,0.0,0.0,0.0,25.698895844313203,0,0.0,0
0,137,0.09484251968503939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.852644778238105,0,0.0,1
0,137,0.09484251968503939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.852644778238105,0,0.0,1
0,138,0.18838582677165355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.97749615804922,0,0.0,2
0,138,0.18838582677165355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.97749615804922,0,0.0,2
0,139,0.16110236220472443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.083500042275627,0,0.0,3
0,139,0.16110236220472443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.083500042275627,0,0.0,3
0,140,0.12125984251968505,0.0,0.0,0.0,0.0,0.0,0.0,4.6000000000000005,30.796410968270603,0,0.0,4
0,140,0.12125984251968505,0.0,0.0,0.0,0.0,0.0,0.0,4.6000000000000005,30.796410968270603,0,0.0,4
0,141,0.058166097595544516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.904187953718974,0,0.0,5
0,141,0.058166097595544516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.904187953718974,0,0.0,5
