DAE,DOY,Water (m/m) L1,NO3-N (kg/ha) L1,NH4-N (kg/ha) L1,Water (m/m) L2,NO3-N (kg/ha) L2,NH4-N (kg/ha) L2,Water (m/m) L3,NO3-N (kg/ha) L3,NH4-N (kg/ha) L3,Water (m/m) L4,NO3-N (kg/ha) L4,NH4-N (kg/ha) L4,Water (m/m) L5,NO3-N (kg/ha) L5,NH4-N (kg/ha) L5,Water (m/m) L6,NO3-N (kg/ha) L6,NH4-N (kg/ha) L6,Water (m/m) L7,NO3-N (kg/ha) L7,NH4-N (kg/ha) L7,Water (m/m) L8,NO3-N (kg/ha) L8,NH4-N (kg/ha) L8,Water (m/m) L9,NO3-N (kg/ha) L9,NH4-N (kg/ha) L9,Water (m/m) L10,NO3-N (kg/ha) L10,NH4-N (kg/ha) L10,Water (m/m) L11,NO3-N (kg/ha) L11,NH4-N (kg/ha) L11,Water (m/m) L12,NO3-N (kg/ha) L12,NH4-N (kg/ha) L12,Mineralized-N (kg/ha) L1,SOC(kg/ha) L1,Mineralized-N (kg/ha) L2,SOC(kg/ha) L2,Mineralized-N (kg/ha) L3,SOC(kg/ha) L3,Mineralized-N (kg/ha) L4,SOC(kg/ha) L4,Mineralized-N (kg/ha) L5,SOC(kg/ha) L5,Mineralized-N (kg/ha) L6,SOC(kg/ha) L6
1,145,0.05202568500608086,1.5071024817985446,7.535512408992722,0.09969461113716134,1037.355045185702,4127.172584640587,0.09987784794207272,2.986004997371918,6.1118024660624,0.099997456012953,2.9870997556846897,6.110986483950392,0.24866723999313234,20.0,0.07833609905190382,0.24866723999313234,20.0,0.07833424758999784,0.24866723999313234,20.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.0,13111.791591647338,0.004287315761812167,2621.2463897986295,0.004281245320923712,2621.248311506434,0.004279823442543375,2621.2487632894545,0.004278142032453019,2620.79159634843,0.004278064233708473,2620.791633377666
2,146,0.04864038055679014,1.5335451134490257,7.514548331616979,0.0993556190244274,1182.9147995920525,3981.349611632935,0.09973198747885616,3.1962939939126316,5.9055302381247605,0.09999379723614729,3.1985826413382603,5.9038623172259905,0.24866723999313234,20.0,0.08356656221747194,0.24866723999313234,20.0,0.08356461554521694,0.24866723999313234,20.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.0054785542747375305,13111.68202056184,0.004317964840239549,2621.1600305018246,0.004346873684594452,2621.161374032742,0.004366980662020145,2621.1614236762143,0.005230463165568107,2620.6869870851183,0.005230367955219089,2620.6870260185615
3,147,0.046114702389179925,1.5494531476798357,7.501608545123976,0.09902258120043686,1337.3126643051714,3826.717633903295,0.09957683177098547,3.4200703044321954,5.685790185038131,0.09998916311794435,3.4241087437197923,5.682693693479154,0.24866723999313234,20.0,0.0894211567526776,0.24866723999313234,20.0,0.08941906361082028,0.24866723999313234,20.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.0029682477378076013,13111.622655607085,0.004292133836766695,2621.074187825089,0.004334698800974502,2621.074680056723,0.0043663619402438385,2621.074096437409,0.005854594535205672,2620.569895194414,0.005854448065603334,2620.5699370572497
4,148,0.044640888554958964,1.5588183923551289,7.493746730004251,0.09873514723476122,1509.3031326499986,3654.499585271892,0.0994290086547693,3.6704709571312755,5.439409810004274,0.09998384219521012,3.6770871752813505,5.434070100413038,0.24866723999313234,20.0,0.09638546087026734,0.24866723999313234,20.0,0.0963833485402506,0.24866723999313234,20.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.0015034295555671337,13111.592587015972,0.0042698091199475895,2620.98879164269,0.00432308911398438,2620.9882182744436,0.004365690568098919,2620.9867826260474,0.006964304117589736,2620.430609112062,0.006964284929430327,2620.4306513586616
5,149,0.04256930316746673,1.5588183923551289,7.493746730004251,0.09838953866954875,1692.4115121303983,3471.1783581950376,0.09924338810758294,3.938029335549297,5.17587890160693,0.09997585911670408,3.948096976449278,5.167413091263007,0.24866723999313234,20.0,0.10435440372267613,0.24866723999313234,20.0,0.10435232785365563,0.24866723999313234,20.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.0,13111.592587015972,0.0042430216225380225,2620.903931210239,0.0043085793552302175,2620.9020466873394,0.004364814888977793,2620.8994863282674,0.007968942852408793,2620.271230255014,0.007968979313405025,2620.2712717723934
6,150,0.041486286788159896,1.5588183923551289,7.493746730004251,0.0981015919950818,1857.9379583749014,3305.4500684701043,0.09906969636311336,4.180313172051768,4.937603649996417,0.09996689075346946,4.194038039985785,4.925821198598786,0.24866723999313234,20.0,0.11202612828393838,0.24866723999313234,20.0,0.11202406096676697,0.24866723999313234,20.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.0,13111.592587015972,0.004220665892017484,2620.8195178923984,0.004294988011134296,2620.8161469271167,0.004363863696007578,2620.8122090543475,0.007671724561262263,2620.1177957637888,0.007671733113111335,2620.1178371101314
7,151,0.13732409757485595,1.5588183923551289,7.493746730004251,0.09786314231754108,1976.8974663235351,3186.2546484004424,0.0989063493144991,4.354441614199344,4.767391212291378,0.0999564163966725,4.371208982909329,4.7529897418537566,0.24866723999313234,20.0,0.11777130168870395,0.24866723999313234,20.0,0.11776915122674657,0.24866723999313234,20.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.0,13111.592587015972,0.004202114034245315,2620.735475611713,0.004282193241278231,2620.730503062291,0.004362797031662754,2620.7249531137145,0.0057451734047655745,2620.0028922956935,0.005745090259979605,2620.0029353049313
8,152,0.09092161954338793,1.7942919121017156,7.30577420069254,0.09756469970987033,2083.119344599755,3079.79258793234,0.09870070485899919,4.510107445689453,4.615624920387785,0.09994059334322038,4.530004188698242,4.5985278900281585,0.24866723999313234,20.0,0.12313751447837962,0.24866723999313234,20.0,0.12313522626350794,0.24866723999313234,20.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.047500990434876815,13110.642567207273,0.004178959868107869,2620.6518964143506,0.004266153655463836,2620.6451799891815,0.004361319930686743,2620.6377267151006,0.005366212789675672,2619.8955680399,0.00536607503676137,2619.8956138041963
9,153,0.04948347557938008,1.8211360833346657,7.285245819073814,0.09728691686574614,2171.943958356361,2990.7521566824826,0.09849023075964804,4.640009727923707,4.489615932860147,0.09992108240779063,4.662787876482996,4.470071048683548,0.24866723999313234,20.0,0.1277817737266496,0.24866723999313234,20.0,0.12777914983604433,0.24866723999313234,20.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.006315789614223239,13110.516251414987,0.00415739559832417,2620.568748502384,0.004249746142276514,2620.560185066336,0.004359559979979348,2620.550535515501,0.004644259248269982,2619.802682854934,0.004643923572536377,2619.802735332745
10,154,0.07779470488666698,1.8427397159349537,7.267782749899024,0.09708782306819334,2279.2311216577823,2883.234151221613,0.09830724021077451,4.7977342400468235,4.335671193025802,0.09989948524101604,4.824533261680133,4.312630120289586,0.24866723999313234,20.0,0.1337401266358441,0.24866723999313234,20.0,0.13373746416470272,0.24866723999313234,20.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.004140563425498782,13110.433440146477,0.004141875097397713,2620.4859110004363,0.004235451085027943,2620.475476044636,0.004357640186731512,2620.4633827117664,0.00595835290919448,2619.6835157967507,0.005958314328658399,2619.6835690461717
11,155,0.08692533500625219,1.9129214756088357,7.213399040252104,0.09686830721295571,2365.7087546296984,2796.5213530621763,0.09810048872494058,4.924714567467707,4.212441747815274,0.09986935205979905,4.955033009825204,4.18641799731126,0.24866723999313234,20.0,0.13872616337726845,0.24866723999313234,20.0,0.1387233740316955,0.24866723999313234,20.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.015798050026960168,13110.117479145938,0.004124789753844332,2620.4034152053596,0.004219334767944893,2620.3910893492766,0.004355065547658348,2620.3762814008132,0.004986036741424377,2619.583795061922,0.004985909866992766,2619.5838508488323
12,156,0.04900466945013534,1.940656459988095,7.1915037103199255,0.09662743198287053,2454.9756895916757,2707.0399259531623,0.09786783771544569,5.05577748408648,4.085146114718654,0.09982831433802752,5.089956511579065,4.055770646043832,0.24866723999313234,20.0,0.14411451837811468,0.24866723999313234,20.0,0.1441115343547097,0.24866723999313234,20.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.24866723999313234,0.0,0.0,0.005839654447080851,13110.000686056997,0.004106067974747747,2620.321293845864,0.004201233471326042,2620.3070646798506,0.004351654438863374,2620.2892483120354,0.005388355000846214,2619.4760279619054,0.005388160323014207,2619.4760876423725
