DAE,DOY,Pot Green Canopy Cover,Pot crop Transpiration (mm/day),Pot Biomass (kg/ha),Green Canopy Cover,Biomass (kg/ha),Transpiration (mm),Soil Evap (mm),Root Depth (m),Height (m),Max N Conc (kg/kg),Crit N Conc (kg/kg),Min N Conc (kg/kg),Crop N Conc (kg/kg),Crop N Mass (kg/ha),N Uptake (kg/ha),Crop WSI (0-1),Crop NSI (0-1),PAW Depletion Profile (0-1),Water Top 50 cm (m/m),Water Mid 50 cm (m/m),Water bottom 50 cm (m/m),N Mass Top 50 cm (kg/ha),N Mass Mid 50 cm (kg/ha),N Mass bottom 50 cm (kg/ha),N Leaching (kg/ha),Soil N Mass down to 150 cm (kg/ha),N Uptake Rate (kg/ha/day)
1,303,0.028665017299829,0.03762283520602556,22.660336190164465,0.028665017299829,22.660336190164465,0.03762283520602556,1.0478861478272494,0.214441695499715,0.011108996538242306,0.07,0.0434,0.0315,0.06869092237151968,1.556559394151125,0.15655939415112477,0,0.0,0.002876987121672015,,,,34.24555536556534,3.601015350678886,7.579775348676916,0.0,45.42634606492114,0.15655939415112477
2,304,0.02925088292455422,0.033400851939475354,24.866545846683785,0.02925088292455422,24.866545846683785,0.033400851939475354,0.9158637270931864,0.21541813820759037,0.01186010631353105,0.07,0.0434,0.0315,0.06871929252037558,1.7088114380095931,0.30881143800959293,0,0.0,0.002758157595127742,,,,34.12311504960689,3.604437636390898,7.579775348676916,0.0,45.307328034674704,0.15225204385846813
3,305,0.029875858992191043,0.016861187918717817,26.058811878302393,0.029875858992191043,26.058811878302393,0.016861187918717817,0.4475270426877235,0.21645976498698508,0.012661357682296207,0.07,0.0434,0.0315,0.06919782394178467,1.8032130764868561,0.40321307648685567,0,0.0,0.003624079930992362,,,,34.05046156052263,3.6068811805219942,7.579775348676916,0.0,45.23711808972154,0.09440163847726278
4,306,0.030542486417171055,0.010021753355634253,26.767456854017194,0.030542486417171055,26.767456854017194,0.010021753355634253,0.25612099017416134,0.2175708106952851,0.013516008227142377,0.07,0.0434,0.0315,0.06951833159412393,1.8608289415089725,0.4608289415089722,0,0.0,0.0042289509678166675,,,,34.00455203569116,3.608176975316229,7.579775348676916,0.0,45.19250435968431,0.057615865022116526
5,307,0.0312534614459188,0.017228470622062734,27.98569369465057,0.0312534614459188,27.98569369465057,0.017228470622062734,0.4303119795073373,0.21875576907653133,0.014427514674254868,0.07,0.0434,0.0315,0.06938037643430493,1.9416579633100106,0.5416579633100103,0,0.0,0.005146763404791485,,,,33.944315888321974,3.610540158306675,7.579775348676916,0.0,45.13463139530557,0.08082902180103804
6,308,0.03201164378839759,0.009663514968622522,28.66900739109164,0.03201164378839759,28.66900739109164,0.00966351496862252,0.23433281629005487,0.220019406313996,0.015399543318458447,0.07,0.0434,0.0315,0.06958404124455994,1.9949053927423144,0.5949053927423144,0,0.0,0.0057811859288255975,,,,33.910158841665165,3.6127467970187452,7.579775348676916,0.0,45.10268098736083,0.05324742943230406
7,309,0.03282006497893085,0.011199847174060154,29.46095617959473,0.03282006497893085,29.46095617959473,0.011199847174060154,0.26573633456488827,0.22136677496488477,0.016435980742219036,0.07,0.0434,0.0315,0.06958863955889862,2.0501478606423245,0.6501478606423243,0,0.0,0.006503412477669047,,,,33.877321400057824,3.6153310088882704,7.579775348676916,0.0,45.07242775762301,0.05524246790001002
8,310,0.03368193694115649,0.015914715204696436,30.586296483784086,0.03368193694115649,30.586296483784086,0.015914715204696436,0.36486157584998946,0.22280322823526083,0.01754094479635447,0.07,0.0434,0.0315,0.06946854549851716,2.1247855289148903,0.7247855289148902,0,0.0,0.007442049709805882,,,,33.82649376751486,3.618108173803352,7.579775348676916,0.0,45.02437728999513,0.07463766827256593
9,311,0.03460066072559047,0.016348812192841497,31.74233208037444,0.03460066072559047,31.74233208037444,0.016348812192841494,0.36055145445614295,0.22433443454265078,0.01871879580203906,0.07,0.0434,0.0315,0.06944563554646101,2.2043664250484207,0.8043664250484206,0,0.0,0.008427758775343599,,,,33.61139870617126,3.7835317071360937,7.579775348676916,0.0,44.97470576198427,0.07958089613353028
10,312,0.03557983538101914,0.017278457556907417,32.96410353106776,0.03557983538101914,32.96410353106776,0.01727845755690741,0.3774281234136986,0.22596639230169857,0.01997414792438351,0.07,0.0434,0.0315,0.06865454139075701,2.2631354102828904,0.8631354102828903,0,0.0,0.0006798435480346271,,,,33.58025361797758,3.7867687111644104,7.579775348676916,0.0,44.946797677818914,0.0587689852344698
11,313,0.036623266912730074,0.007690886051673315,33.50793129911488,0.036623266912730074,33.50793129911488,0.007690886051673314,0.1639506841158216,0.22770544485455013,0.02131188065734625,0.07,0.0434,0.0315,0.06889466592362643,2.308517732644346,0.9085177326443455,0,0.0,0.000977985424560274,,,,33.550809388336454,3.7885718516163465,7.579775348676916,0.0,44.91915658862972,0.04538232236145519
12,314,0.03773497727134594,0.006933802073609818,33.998225145680365,0.03773497727134594,33.998225145680365,0.006933802073609817,0.14322050049259324,0.22955829545224324,0.02273715034787941,0.07,0.0434,0.0315,0.06906070475223819,2.347941388885952,0.9479413888859518,0,0.0,0.001243282668778482,,,,33.525469147891485,3.7901398041969565,7.579775348676916,0.0,44.89538430076536,0.03942365624160624
13,315,0.03891921330566666,0.004597332071731874,34.323305614009165,0.03891921330566666,34.323305614009165,0.004597332071731872,0.09237919662781187,0.2315320221761111,0.024255401673931615,0.07,0.0434,0.0315,0.06928296986307562,2.378020548456531,0.9780205484565313,0,0.0,0.0014152452905833634,,,,33.504086598844026,3.791072158824313,7.579775348676916,0.0,44.87493410634526,0.030079159570579564
14,316,0.0401804556013753,0.0031642108786083044,34.547049110945984,0.0401804556013753,34.547049110945984,0.0031642108786083057,0.05948131196807393,0.23363409266895885,0.025872378976122178,0.07,0.0434,0.0315,0.06947513599054737,2.400160935055091,1.0001609350550915,0,0.0,0.0015299627073397533,,,,33.483544386472325,3.7912360405742414,7.579775348676916,0.0,44.85455577572348,0.022140386598560133
15,317,0.04152342711465179,0.008719919694076875,35.163640545654374,0.04152342711465179,35.163640545654374,0.008719919694076879,0.16019365720377085,0.23587237852441967,0.027594137326476652,0.07,0.0434,0.0315,0.06924611012191567,2.434945325511842,1.034945325511842,0,0.0,0.001852913892995904,,,,33.451350622277054,3.791495122351955,7.579775348676916,0.0,44.822621093305926,0.03478439045675043
16,318,0.042953101495605106,0.008456391856947255,35.76159774829618,0.042953101495605106,35.76159774829618,0.008456391856947253,0.14883264391915513,0.23825516915934186,0.029427053199493725,0.07,0.0434,0.0315,0.06916553526587028,2.4734700502236473,1.0734700502236474,0,0.0,0.002160892604887085,,,,33.41469853622231,3.791689726020361,7.579775348676916,0.0,44.78616361091959,0.0385247247118055
17,319,0.044474710980931975,0.015176995122243036,36.834773365193506,0.044474710980931975,36.834773365193506,0.015176995122243037,0.2559900745034229,0.24079118496821997,0.03137783459093843,0.07,0.0434,0.0315,0.06877410755901414,2.5332786653297275,1.1332786653297278,0,0.0,0.0027130305754411456,,,,33.356398313330885,3.791865680166714,7.579775348676916,0.0,44.72803934217452,0.05980861510608031
18,320,0.04609375371830911,0.01028466879839772,37.56200927015397,0.04609375371830911,37.56200927015397,0.010284668798397718,0.16621277356747766,0.2434895895305152,0.0334535304080886,0.07,0.0434,0.0315,0.06887640496174037,2.587136161667771,1.1871361616677711,0,0.0,0.0030758485734103482,,,,33.304442790064584,3.792081073282454,7.579775348676916,0.0,44.676299212023956,0.05385749633804348
19,321,0.04781600036672508,0.010668945081825535,38.316417611700544,0.04781600036672508,38.316417611700544,0.010668945081825535,0.16834346922155358,0.24636000061120847,0.035661538931698815,0.07,0.0434,0.0315,0.0689159814660911,2.6406135259749615,1.2406135259749613,0,0.0,0.0034453674943106262,,,,33.2580683385673,3.792839954026511,7.579775348676916,0.0,44.63068364127073,0.053477364307190196
20,322,0.04964749979728382,0.0006516234348393501,38.36249434665605,0.04964749979728382,38.36249434665605,0.0006516234348393493,0.009870414524628415,0.24941249966213971,0.03800961512472285,0.07,0.0434,0.0315,0.06947006353300347,2.6650449195466823,1.2650449195466826,0,0.0,0.003447288204572658,,,,33.24235750152367,3.7938062802077743,7.579775348676916,0.0,44.615939130408364,0.02443139357172127
21,323,0.05159458369803688,0.02640997753043263,40.229961766931375,0.05159458369803688,40.229961766931375,0.02640997753043263,0.38530982589955104,0.25265763949672815,0.04050587653594471,0.07,0.0434,0.0315,0.06842554295912197,2.752756977126997,1.3527569771269974,0,0.0,0.004360776611855932,,,,33.06105869722698,3.8994944265877036,7.579775348676916,0.0,44.5403284724916,0.08771205758031464
22,324,0.05366386986424275,0.04859934214580484,43.666454206181754,0.05366386986424275,43.666454206181754,0.048599342145804844,0.705606799185573,0.2561064497737379,0.04315880751825993,0.07,0.0434,0.0315,0.06656396674583011,2.9066124056885956,1.5066124056885961,0,0.0,0.0017006782356260867,,,,32.92868818937899,3.9019603081181358,7.579775348676916,0.0,44.41042384617404,0.15385542856159876
23,325,0.05586226393229221,0.0007331922141113352,43.718298724832884,0.05586226393229221,43.718298724832884,0.0007331922141113353,0.009981636964071497,0.2597704398871537,0.045977261451656676,0.07,0.0434,0.0315,0.06813005938556903,2.9785302883589115,1.5785302883589118,0,0.0,0.0017139786528345983,,,,32.870802346865844,3.9035314657213376,7.579775348676916,0.0,44.3541091612641,0.0719178826703157
24,326,0.05819695929162978,0.0038191754535132046,43.98835521100493,0.05819695929162978,43.98835521100493,0.0038191754535132055,0.048193756333909134,0.263661598819383,0.04897046063029459,0.07,0.0434,0.0315,0.06879502787305684,3.026180122831009,1.6261801228310095,0,0.0,0.0018309987459287766,,,,32.81425424337736,3.9179081665385587,7.579775348676916,0.0,44.31193775859284,0.04764983447209774
25,327,0.06067543488468255,0.007963650828614584,44.551470361396454,0.06067543488468255,44.551470361396454,0.007963650828614584,0.09643473952691822,0.2677923914744709,0.0521479934419007,0.07,0.0434,0.0315,0.0689141877672376,3.0702283937917962,1.670228393791796,0,0.0,0.00026675895092872354,,,,32.69684731374959,4.007560992906431,7.579775348676916,0.0,44.28418365533294,0.04404827096078672
26,328,0.06330545058051733,0.030742709438163728,46.72530819297378,0.06330545058051733,46.72530819297378,0.03074270943816373,0.36087062907260753,0.2721757509675289,0.055519808436560666,0.07,0.0434,0.0315,0.06759867553584574,3.158568947849229,1.758568947849229,0,0.0,0.001013405451545932,,,,32.62563333240525,4.009538873955907,7.579775348676916,0.0,44.21494755503807,0.0883405540574327
27,329,0.06609503978423398,0.0008674973971680711,46.7866495221937,0.06609503978423398,46.7866495221937,0.0008674973971680733,0.009723931286284711,0.2768250663070566,0.05909620485158201,0.07,0.0434,0.0315,0.06851529643458132,3.2056011611939637,1.8056011611939637,0,0.0,0.001032854827801948,,,,32.57557695314318,4.027590242834559,7.579775348676916,0.0,44.18294254465465,0.0470322133447348
28,330,0.06905249892164736,0.007250512386772973,47.299338169770124,0.06905249892164736,47.299338169770124,0.0072505123867729745,0.07585868682477048,0.2817541648694123,0.06288781913031712,0.07,0.0434,0.0315,0.06868896464646655,3.2489425673446064,1.848942567344606,0,0.0,0.00023095425882011103,,,,32.52906752073272,4.036278147085631,7.579775348676916,0.0,44.14512101649527,0.043341406150642324
29,331,0.07218637341842764,0.019896369173454116,48.70622392612416,0.07218637341842764,48.70622392612416,0.019896369173454116,0.20105743842879423,0.28697728903071273,0.0669056069467021,0.07,0.0434,0.0315,0.06809999645823368,3.3168936768629926,1.9168936768629925,0,0.0,0.0006223377057638735,,,,32.470162050185316,4.037275215292416,7.579775348676916,0.0,44.08721261415465,0.06795110951838651
30,332,0.0755054397755314,0.029730266911615486,50.8084712600931,0.0755054397755314,50.8084712600931,0.02973026691161549,0.29225880536236637,0.29250906629255236,0.07116082022504025,0.07,0.0434,0.0315,0.0672780626023208,3.418295510164761,2.0182955101647613,0,0.0,0.001528878963839798,,,,32.38792284973711,4.039487288298357,7.579775348676916,0.0,44.00718548671239,0.10140183330176894
31,333,0.07901868332959099,0.0010371202187008817,50.88180673404801,0.07901868332959099,50.88180673404801,0.0010371202187008835,0.009323941536047027,0.298364472215985,0.07566497862768075,0.07,0.0434,0.0315,0.06829337964163765,3.4748905441407754,2.0748905441407755,0,0.0,0.001544724053975232,,,,32.34391603239987,4.040939865549018,7.579775348676916,0.0,43.96463124662581,0.05659503397601416
