DAE,DOY,Water (m/m) L1,NO3-N (kg/ha) L1,NH4-N (kg/ha) L1,Water (m/m) L2,NO3-N (kg/ha) L2,NH4-N (kg/ha) L2,Water (m/m) L3,NO3-N (kg/ha) L3,NH4-N (kg/ha) L3,Water (m/m) L4,NO3-N (kg/ha) L4,NH4-N (kg/ha) L4,Water (m/m) L5,NO3-N (kg/ha) L5,NH4-N (kg/ha) L5,Water (m/m) L6,NO3-N (kg/ha) L6,NH4-N (kg/ha) L6,Water (m/m) L7,NO3-N (kg/ha) L7,NH4-N (kg/ha) L7,Water (m/m) L8,NO3-N (kg/ha) L8,NH4-N (kg/ha) L8,Water (m/m) L9,NO3-N (kg/ha) L9,NH4-N (kg/ha) L9,Water (m/m) L10,NO3-N (kg/ha) L10,NH4-N (kg/ha) L10,Water (m/m) L11,NO3-N (kg/ha) L11,NH4-N (kg/ha) L11,Water (m/m) L12,NO3-N (kg/ha) L12,NH4-N (kg/ha) L12,Water (m/m) L13,NO3-N (kg/ha) L13,NH4-N (kg/ha) L13,Water (m/m) L14,NO3-N (kg/ha) L14,NH4-N (kg/ha) L14,Water (m/m) L15,NO3-N (kg/ha) L15,NH4-N (kg/ha) L15,Mineralized-N (kg/ha) L1,Mineralized-N (kg/ha) L2,Mineralized-N (kg/ha) L3,Mineralized-N (kg/ha) L4,Mineralized-N (kg/ha) L5,Mineralized-N (kg/ha) L6
1,303,0.06033757062406277,1.3753992196548266,0.421899756527379,0.1347919542086816,30.26484758175023,0.27892007606789265,0.11435430732372075,0.23251424265053236,0.3180196837860229,0.16934555298263237,0.4065585726047316,0.327804727135475,0.1762223524661875,0.6404125068036018,0.35417770004716026,0.18323446080079436,0.9221189821100187,0.38674852846227176,0.19036246288811337,0.9947947371894271,0.0,0.05977693088452242,0.498520151614921,0.0,0.06575139264770978,0.8168014754070374,0.0,0.07230236003008723,1.1986125740375044,0.0,0.07924602687566025,1.8386353762801568,0.0,0.08645438929928746,2.5701478546957413,0.0,0.0938422526884458,1.507393362110255,0.0,0.10135358452861694,0.5160968946464788,0.0,0.10895134843530406,0.0,0.0,0.0,0.0005254148305605096,0.0004955776510974873,0.0004777133741748111,0.0004761017483118511,0.0004757255747385443
2,304,0.07521020256222637,1.375876535242633,0.42658033555033287,0.13425370761032115,30.14351051366674,0.17114342277870995,0.11426344025485503,0.23504629585060643,0.31633558539730167,0.16934120221652366,0.41084542087447695,0.324510722569207,0.1762223524661875,0.6448858910992151,0.35070604042073017,0.18323446080079436,0.9267766712587809,0.38309219993945853,0.19036246288811337,0.9947947371894271,0.0,0.05977693088452242,0.498520151614921,0.0,0.06575139264770978,0.8168014754070374,0.0,0.07230236003008723,1.1986125740375044,0.0,0.07924602687566025,1.8386353762801568,0.0,0.08645438929928746,2.5701478546957413,0.0,0.0938422526884458,1.507393362110255,0.0,0.10135358452861694,0.5160968946464788,0.0,0.10895134843530406,0.0,0.0,0.005157894610760223,0.001061724136095569,0.0010328598663035724,0.0010032891310267974,0.001001724669183165,0.001001360625948922
3,305,0.07896644241765285,1.3782011959243938,0.4349331198836646,0.13383161859295326,30.048441464465224,0.041719199589370023,0.11421901943824855,0.2426220133330652,0.3116398869796897,0.16933716727137102,0.42296029686257003,0.315289860574763,0.1762223524661875,0.6575153804032685,0.3409799379830572,0.18323446080079436,0.9399197430551404,0.37285242342427316,0.19036246288811337,0.9947947371894271,0.0,0.05977693088452242,0.498520151614921,0.0,0.06575139264770978,0.8168014754070374,0.0,0.07230236003008723,1.1986125740375044,0.0,0.07924602687566025,1.8386353762801568,0.0,0.08645438929928746,2.5701478546957413,0.0,0.0938422526884458,1.507393362110255,0.0,0.10135358452861694,0.5160968946464788,0.0,0.10895134843530406,0.0,0.0,0.010677445015092666,0.002978446476579845,0.0029714307093641795,0.0029038035677050418,0.002903386866380489,0.002903295281174048
4,306,0.0825825265366868,1.3803574425736536,0.44280858285654784,0.13330276377768782,29.862166743490913,0.0027785031057546276,0.11413212885857628,0.2494043770357974,0.30742596503049097,0.1693315639582594,0.4337397709511963,0.30718255999518296,0.1762223524661875,0.6687249148926608,0.3324551745257013,0.18323446080079436,0.9515526280852831,0.3639039876388283,0.19036246288811337,0.9947947371894271,0.0,0.05977693088452242,0.498520151614921,0.0,0.06575139264770978,0.8168014754070374,0.0,0.07230236003008723,1.1986125740375044,0.0,0.07924602687566025,1.8386353762801568,0.0,0.08645438929928746,2.5701478546957413,0.0,0.0938422526884458,1.507393362110255,0.0,0.10135358452861694,0.5160968946464788,0.0,0.10895134843530406,0.0,0.0,0.010031709622142764,0.0027785031057546276,0.0027531536974058244,0.0026861695941334655,0.0026847710320362594,0.0026844492446978564
5,307,0.0654818065367839,1.3825413428419804,0.45143435261973686,0.1327439239331478,29.592579972813347,0.0022955386455664603,0.11403316848455398,0.2547934601296307,0.30407196561768135,0.1693248374528279,0.4422379799341586,0.3008585082106998,0.1762223524661875,0.6775426898641448,0.32582638922359214,0.18323446080079436,0.9606795594008153,0.35696548928001715,0.19036246288811337,0.9947947371894271,0.0,0.05977693088452242,0.498520151614921,0.0,0.06575139264770978,0.8168014754070374,0.0,0.07230236003008723,1.1986125740375044,0.0,0.07924602687566025,1.8386353762801568,0.0,0.08645438929928746,2.5701478546957413,0.0,0.0938422526884458,1.507393362110255,0.0,0.10135358452861694,0.5160968946464788,0.0,0.10895134843530406,0.0,0.0,0.010809670031515811,0.0022955386455664603,0.002251522027535211,0.0021913877062360726,0.0021889896693749046,0.002188432956720972
6,308,0.05152309501787798,1.3827754049974952,0.4521152262233933,0.1315339982136662,28.9403577340763,0.0033169601017627266,0.1136660882538145,0.26199414879166555,0.29935396997046704,0.16930946419734985,0.45431110845306394,0.29197470281959503,0.1762223524661875,0.6900755454673879,0.3165223541709263,0.18323446080079436,0.9736300997120142,0.34724362221254435,0.19036246288811337,0.9947947371894271,0.0,0.05977693088452242,0.498520151614921,0.0,0.06575139264770978,0.8168014754070374,0.0,0.07230236003008723,1.1986125740375044,0.0,0.07924602687566025,1.8386353762801568,0.0,0.08645438929928746,2.5701478546957413,0.0,0.0938422526884458,1.507393362110255,0.0,0.10135358452861694,0.5160968946464788,0.0,0.10895134843530406,0.0,0.0,0.0009149357591713876,0.0033169601017627266,0.0033055386284255805,0.0032294782217868827,0.003228820550577282,0.00322867324372618
7,309,0.04344231453937806,1.3830215602249087,0.4537057534259563,0.13053179937621842,28.396900655024254,0.0015061260393045832,0.11338220299528075,0.2648182581424266,0.29732746629337287,0.169294642967729,0.4593868433156988,0.28826840534237336,0.1762223524661875,0.6953434624490984,0.31266079972685445,0.18323446080079436,0.9790547596788779,0.3432246610567017,0.19036246288811337,0.9947947371894271,0.0,0.05977693088452242,0.498520151614921,0.0,0.06575139264770978,0.8168014754070374,0.0,0.07230236003008723,1.1986125740375044,0.0,0.07924602687566025,1.8386353762801568,0.0,0.08645438929928746,2.5701478546957413,0.0,0.0938422526884458,1.507393362110255,0.0,0.10135358452861694,0.5160968946464788,0.0,0.10895134843530406,0.0,0.0,0.0018366824299766533,0.0015061260393045832,0.0014535840785594907,0.0014092109372493742,0.0014063625376386048,0.0014056988110210055
8,310,0.04205907650945017,1.3831542590666575,0.4548080959429049,0.13009072917071246,28.123945430278138,0.0011968244366759061,0.1133322492169139,0.26744330907972974,0.29574021324241107,0.16928612172434326,0.4633578138269341,0.28539346557911754,0.1762223524661875,0.6994517505774543,0.30966937510822673,0.18323446080079436,0.9832800221307809,0.3401157282418048,0.19036246288811337,0.9947947371894271,0.0,0.05977693088452242,0.498520151614921,0.0,0.06575139264770978,0.8168014754070374,0.0,0.07230236003008723,1.1986125740375044,0.0,0.07924602687566025,1.8386353762801568,0.0,0.08645438929928746,2.5701478546957413,0.0,0.0938422526884458,1.507393362110255,0.0,0.10135358452861694,0.5160968946464788,0.0,0.10895134843530406,0.0,0.0,0.0012350413586972517,0.0011968244366759061,0.001154522584440476,0.0011191545992451344,0.0011168635097283668,0.001116329637006149
9,311,0.041284450571280634,1.3832294263315221,0.45563104742824584,0.12976024374704215,27.940963514970548,0.0008598776377197306,0.11333002021053575,0.26935339348436554,0.2946357141625259,0.16927823590037422,0.4660897891081465,0.2834214585273971,0.1762223524661875,0.7022776687450559,0.30762235832893003,0.18323446080079436,0.9861826170923979,0.33799141552461803,0.19036246288811337,0.9947947371894271,0.0,0.05977693088452242,0.498520151614921,0.0,0.06575139264770978,0.8168014754070374,0.0,0.07230236003008723,1.1986125740375044,0.0,0.07924602687566025,1.8386353762801568,0.0,0.08645438929928746,2.5701478546957413,0.0,0.0938422526884458,1.507393362110255,0.0,0.10135358452861694,0.5160968946464788,0.0,0.10895134843530406,0.0,0.0,0.0008981187502056312,0.0008598776377197306,0.0008108454741851533,0.0007815537459944014,0.0007789013883048256,0.0007782822444301123
10,312,0.040762753983589445,1.3832826110803185,0.45624907116264396,0.12948418598176314,27.804214390426534,0.0008018937174339715,0.11335256376860578,0.27112452413544896,0.2936177443649797,0.16927023831753268,0.46859756829783455,0.2816168759484787,0.1762223524661875,0.7048718194143548,0.30575078994689775,0.18323446080079436,0.9888452455403854,0.3360507539606155,0.19036246288811337,0.9947947371894271,0.0,0.05977693088452242,0.498520151614921,0.0,0.06575139264770978,0.8168014754070374,0.0,0.07230236003008723,1.1986125740375044,0.0,0.07924602687566025,1.8386353762801568,0.0,0.08645438929928746,2.5701478546957413,0.0,0.0938422526884458,1.507393362110255,0.0,0.10135358452861694,0.5160968946464788,0.0,0.10895134843530406,0.0,0.0,0.0006712084831945346,0.0008018937174339715,0.0007531608535372702,0.0007252181529912843,0.0007225822872667119,0.0007219668839852005
